[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000208s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001059s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000220s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001071s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000196s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001061s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='46' [ RunTime:0.001211s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001645s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000399s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001147s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000350s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001173s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000475s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001357s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='94' [ RunTime:0.000377s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001576s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000358s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.021943s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.020288s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001870s ]
